19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:37 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:38 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
